Date,Open,High,Low,Close,Volume
2021-06-21,127.127,129.187,126.07,129.08,81651527
2021-06-22,128.912,130.808,128.412,130.719,76650043
2021-06-23,130.513,131.042,129.992,130.444,61717006
2021-06-24,131.17,131.358,129.699,130.169,70425865
2021-06-25,130.219,130.63,129.582,129.874,72550343
2021-06-28,130.169,131.945,130.109,131.493,63661455
2021-06-29,131.513,133.174,131.072,133.016,66167251
2021-06-30,132.856,134.066,132.565,133.631,64840250
2021-07-01,133.281,133.987,132.455,133.929,53795705
2021-07-02,134.544,136.595,134.397,136.556,80915871
2021-07-06,136.664,139.666,136.664,138.56,110881758
2021-07-07,140.042,141.366,139.187,141.05,107529939
2021-07-08,138.125,140.55,137.233,139.754,108210377
2021-07-09,139.277,142.11,139.177,141.583,102383843
2021-07-12,142.65,142.757,140.491,140.981,78203982
2021-07-13,140.55,143.865,140.14,142.1,103343508
2021-07-14,144.487,145.929,144.081,145.516,130221678
2021-07-15,145.603,146.349,143.515,144.856,109486283
2021-07-16,144.836,146.114,142.329,142.827,95578765
2021-07-19,140.247,140.56,138.215,138.981,124465297
2021-07-20,139.972,143.525,139.48,142.591,98754708
2021-07-21,141.993,142.571,141.109,141.863,76865122
2021-07-22,142.384,144.574,142.27,143.23,79268336
2021-07-23,143.953,145.093,143.345,144.936,73230578
2021-07-26,144.652,146.183,144.101,145.359,74241875
2021-07-27,145.496,145.575,142.013,143.2,107434607
2021-07-28,141.316,143.395,139.069,141.456,121899438
2021-07-29,141.167,142.985,141.06,142.1,58114562
2021-07-30,140.865,142.767,140.599,142.309,72198660
2021-08-02,142.797,143.375,141.717,141.983,64449299
2021-08-03,142.27,144.429,141.65,143.77,66403542
2021-08-04,143.683,144.181,142.718,143.375,57775092
2021-08-05,143.405,144.23,142.611,143.485,47555651
2021-08-06,143.004,143.742,142.3,142.797,55394698
2021-08-09,142.857,143.345,142.2,142.747,50054344
2021-08-10,143.092,144.319,141.983,142.28,70639902
2021-08-11,142.708,143.365,142.21,142.523,49629390
2021-08-12,142.847,145.632,142.504,145.477,75507340
2021-08-13,145.555,146.026,144.866,145.681,60765830
2021-08-16,145.133,147.734,143.12,147.664,105984580
2021-08-17,146.792,148.211,145.671,146.754,94390156
2021-08-18,146.368,147.272,142.807,143.014,88348121
2021-08-19,141.717,144.604,141.196,143.345,88997299
2021-08-20,144.062,145.093,143.425,144.79,61967965
2021-08-23,144.906,146.754,144.496,146.28,61540358
2021-08-24,146.026,147.41,145.731,146.193,49745001
2021-08-25,146.378,146.878,144.409,144.955,60373130
2021-08-26,144.965,145.701,144.131,144.151,49735553
2021-08-27,144.101,145.34,143.475,145.193,57109522
2021-08-30,145.584,149.979,145.203,149.626,93087325
2021-08-31,149.174,149.313,147.833,148.36,88478226
2021-09-01,149.343,151.422,148.863,149.027,82195008
2021-09-02,150.343,151.166,148.92,150.138,72838458
2021-09-03,150.245,151.078,149.599,150.766,59221542
2021-09-07,151.413,153.659,150.854,153.102,84205576
2021-09-08,153.382,153.442,150.44,151.551,76163453
2021-09-09,151.922,152.532,150.42,150.539,58648079
2021-09-10,151.442,151.912,145.291,145.555,144193569
2021-09-13,147.183,147.96,145.34,146.123,104803083
2021-09-14,146.907,147.615,143.554,144.72,111856489
2021-09-15,145.153,146.016,143.024,145.612,85232127
2021-09-16,145.035,145.555,143.846,145.377,69627805
2021-09-17,145.407,145.407,142.424,142.718,132910919
2021-09-20,140.511,141.534,138.027,139.666,126371275
2021-09-21,140.639,141.296,139.509,140.15,77610323
2021-09-22,141.148,143.082,140.413,142.513,78194064
2021-09-23,143.296,143.713,142.309,143.475,66356963
2021-09-24,142.329,144.091,142.24,143.564,54730553
2021-09-27,142.15,142.621,140.531,142.051,75887662
2021-09-28,139.972,141.446,138.443,138.655,111524946
2021-09-29,139.207,141.148,138.772,139.558,76349548
2021-09-30,140.373,141.079,138.037,138.255,91142758
2021-10-01,138.645,139.648,135.929,139.385,96856453
2021-10-04,138.512,138.951,135.105,135.958,100625138
2021-10-05,136.301,138.981,136.174,137.871,82755180
2021-10-06,136.283,138.891,135.202,138.744,85170519
2021-10-07,139.783,140.913,139.452,140.012,63178703
2021-10-08,140.738,140.885,139.297,139.628,60149878
2021-10-11,139.009,141.505,138.56,139.538,65961970
2021-10-12,139.952,139.972,137.805,138.265,74746676
2021-10-13,137.997,138.155,136.018,137.676,80607686
2021-10-14,138.851,140.589,138.265,140.471,71544629
2021-10-15,140.481,141.583,140.227,141.534,69531793
2021-10-18,140.17,143.485,139.883,143.2,87594047
2021-10-19,143.634,145.751,143.2,145.349,78168020
2021-10-20,145.291,146.33,144.72,145.84,59787209
2021-10-21,145.397,146.213,144.477,146.055,62859737
2021-10-22,146.26,146.744,145.231,145.281,60262749
2021-10-25,145.271,145.948,144.24,145.231,51908651
2021-10-26,145.909,147.39,145.593,145.899,62319782
2021-10-27,145.938,146.3,145.084,145.437,57408915
2021-10-28,146.388,149.666,146.29,149.085,102422148
2021-10-29,143.836,146.506,143.063,146.368,127880116
2021-11-01,145.575,146.27,144.409,145.546,76335440
2021-11-02,145.251,148.105,145.241,146.586,70741124
2021-11-03,146.946,148.499,146.388,148.029,55788430
2021-11-04,148.115,148.949,147.193,147.506,61809320
2021-11-05,148.637,148.939,146.842,148.038,66899695
2021-11-08,148.164,148.32,146.937,147.212,56227634
2021-11-09,146.976,148.183,146.842,147.575,58033452
2021-11-10,146.802,146.907,144.67,144.74,66616831
2021-11-11,145.761,146.223,144.506,144.69,41899196
2021-11-12,145.241,147.173,144.309,146.773,65203413
2021-11-15,147.145,148.628,146.223,146.782,60521729
2021-11-16,146.724,148.24,146.133,147.764,60555868
2021-11-17,147.754,151.669,147.754,150.196,90754793
2021-11-18,150.402,155.268,149.775,154.484,140850630
2021-11-19,154.268,157.565,153.171,157.104,119878447
2021-11-22,158.201,162.148,157.545,157.565,120044298
2021-11-23,157.654,158.321,155.652,157.938,98148374
2021-11-24,157.3,158.655,156.22,158.459,70987160
2021-11-26,156.142,157.005,153.004,153.442,78647700
2021-11-29,155.955,157.723,155.386,156.81,90694720
2021-11-30,156.556,161.97,156.496,161.754,177865432
2021-12-01,163.884,166.64,160.999,161.235,155766078
2021-12-02,155.326,160.675,154.415,160.244,139738259
